cod_ine,CCAA,parados,paro
1,Andalucía,9261,9261
2,Aragón,3685,3685
3,Asturias,1737,1737
4,Baleares,1448,1448
5,Canarias,1834,1834
6,Cantabria,1619,1619
8,Castilla-La Mancha,12489,12489
7,Castilla y León,10518,10518
9,Cataluña,31043,31043
18,Ceuta,84,84
10,C. Valenciana,7964,7964
11,Extremadura,2273,2273
12,Galicia,6758,6758
13,Madrid,43877,43877
19,Melilla,93,93
14,Murcia,1356,1356
15,Navarra,3575,3575
16,País Vasco,9806,9806
17,La Rioja,3026,3026
0,Total,152446,152446
